Raw Image,Processed Image,MSE,PSNR,SSIM
Untitled 7085.jpg,cleaned_Untitled 7085.jpg,78.82371588,29.16423456,0.976860629
Untitled 7086.jpg,cleaned_Untitled 7086.jpg,78.08129541,29.20533351,0.977180641
Untitled 7087.jpg,cleaned_Untitled 7087.jpg,78.92758332,29.15851556,0.977014747
Untitled 7090.jpg,cleaned_Untitled 7090.jpg,78.88217102,29.16101506,0.977235232
Untitled 7092.jpg,cleaned_Untitled 7092.jpg,82.76530177,28.95232058,0.975616033
Untitled 7094.jpg,cleaned_Untitled 7094.jpg,84.23774217,28.87573643,0.975667757
Untitled 7095.jpg,cleaned_Untitled 7095.jpg,85.73927215,28.79900568,0.975504834
Untitled 7096.jpg,cleaned_Untitled 7096.jpg,86.8485332,28.74317873,0.975004681
Untitled 7097.jpg,cleaned_Untitled 7097.jpg,86.42981947,28.76416755,0.974987102
Untitled 7098.jpg,cleaned_Untitled 7098.jpg,84.82424713,28.84560347,0.975299232
Untitled 7100.jpg,cleaned_Untitled 7100.jpg,85.64037073,28.80401822,0.97505958
Untitled 7102.jpg,cleaned_Untitled 7102.jpg,83.62301486,28.9075454,0.975367901
Untitled 7103.jpg,cleaned_Untitled 7103.jpg,75.7396892,29.33756842,0.978905251
Untitled 7107.jpg,cleaned_Untitled 7107.jpg,75.1275454,29.37281161,0.979098879
Untitled 7108.jpg,cleaned_Untitled 7108.jpg,84.7094491,28.85148504,0.975461721
Untitled 7109.jpg,cleaned_Untitled 7109.jpg,85.29740276,28.82144553,0.975622261
Untitled 7110.jpg,cleaned_Untitled 7110.jpg,84.80393205,28.84664371,0.975387782
Untitled 7114.jpg,cleaned_Untitled 7114.jpg,75.17700853,29.36995321,0.977347923
Untitled 7115.jpg,cleaned_Untitled 7115.jpg,76.69154202,29.28332891,0.977126703
Untitled 7116.jpg,cleaned_Untitled 7116.jpg,76.8278542,29.27561657,0.977031897
Untitled 7117.jpg,cleaned_Untitled 7117.jpg,80.47156658,29.07437905,0.977592344
Untitled 7119.jpg,cleaned_Untitled 7119.jpg,81.19287381,29.03562447,0.978649462
Untitled 7120.jpg,cleaned_Untitled 7120.jpg,86.6322104,28.75400965,0.975006856
Untitled 7122.jpg,cleaned_Untitled 7122.jpg,79.55797506,29.1239664,0.978215256
Untitled 7123.jpg,cleaned_Untitled 7123.jpg,84.3519115,28.86985432,0.975560388
Untitled 7125.jpg,cleaned_Untitled 7125.jpg,84.56682338,28.85880344,0.9754583
Untitled 7128.jpg,cleaned_Untitled 7128.jpg,81.32068504,29.02879332,0.977597672
Untitled 7129.jpg,cleaned_Untitled 7129.jpg,76.78602799,29.27798158,0.976909669
Untitled 7130.jpg,cleaned_Untitled 7130.jpg,78.87624175,29.16134151,0.977483091
Untitled 7131.jpg,cleaned_Untitled 7131.jpg,85.37259748,28.81761866,0.976851979
Untitled 7133.jpg,cleaned_Untitled 7133.jpg,79.04758349,29.15191763,0.976955334
Untitled 7134.jpg,cleaned_Untitled 7134.jpg,78.16660434,29.20059115,0.977452545
Untitled 7138.jpg,cleaned_Untitled 7138.jpg,76.21582563,29.31035202,0.977781314
Untitled 7139.jpg,cleaned_Untitled 7139.jpg,79.24840385,29.14089837,0.977873486
Untitled 7144.jpg,cleaned_Untitled 7144.jpg,66.3615773,29.91163661,0.975581944
Untitled 7147.jpg,cleaned_Untitled 7147.jpg,76.89064584,29.27206852,0.977026731
Untitled 7149.jpg,cleaned_Untitled 7149.jpg,86.97440979,28.73688871,0.9758322
Untitled 7151.jpg,cleaned_Untitled 7151.jpg,84.74256226,28.8497877,0.975196886
Untitled 7152.jpg,cleaned_Untitled 7152.jpg,87.74258447,28.69869938,0.975709416
Untitled 7153.jpg,cleaned_Untitled 7153.jpg,85.57650822,28.80725799,0.975999815
Untitled 7156.jpg,cleaned_Untitled 7156.jpg,80.64307983,29.06513255,0.977185652
Untitled 7157.jpg,cleaned_Untitled 7157.jpg,77.6445328,29.2296948,0.977005472
Untitled 7158.jpg,cleaned_Untitled 7158.jpg,83.08135743,28.93576777,0.977515236
Untitled 7159.jpg,cleaned_Untitled 7159.jpg,82.6471067,28.95852706,0.975787369
Untitled 7160.jpg,cleaned_Untitled 7160.jpg,79.23744331,29.14149907,0.973394274
Untitled 7161.jpg,cleaned_Untitled 7161.jpg,85.78483593,28.79669836,0.976475527
Untitled 7163.jpg,cleaned_Untitled 7163.jpg,80.75919097,29.05888401,0.975963612
